sample,two_theta,intensity
InMnPdOx_pre,22.1,4.858
InMnPdOx_pre,22.11,4.88
InMnPdOx_pre,22.12,4.986
InMnPdOx_pre,22.13,4.955
InMnPdOx_pre,22.14,4.87
InMnPdOx_pre,22.15,4.833
InMnPdOx_pre,22.16,4.963
InMnPdOx_pre,22.17,5.049
InMnPdOx_pre,22.18,5.03
InMnPdOx_pre,22.19,5.038
InMnPdOx_pre,22.2,5.124
InMnPdOx_pre,22.21,5.103
InMnPdOx_pre,22.22,5.11
InMnPdOx_pre,22.23,5.059
InMnPdOx_pre,22.24,4.929
InMnPdOx_pre,22.25,4.842
InMnPdOx_pre,22.26,4.818
InMnPdOx_pre,22.27,4.803
InMnPdOx_pre,22.28,4.763
InMnPdOx_pre,22.29,4.887
InMnPdOx_pre,22.3,5.046
InMnPdOx_pre,22.31,5.041
InMnPdOx_pre,22.32,4.954
InMnPdOx_pre,22.33,4.976
InMnPdOx_pre,22.34,5.013
InMnPdOx_pre,22.35,5.046
InMnPdOx_pre,22.36,4.962
InMnPdOx_pre,22.37,4.972
InMnPdOx_pre,22.38,5.046
InMnPdOx_pre,22.39,5.115
InMnPdOx_pre,22.4,5.086
InMnPdOx_pre,22.41,4.99
InMnPdOx_pre,22.42,4.936
InMnPdOx_pre,22.43,4.924
InMnPdOx_pre,22.44,4.935
InMnPdOx_pre,22.45,4.88
InMnPdOx_pre,22.46,4.988
InMnPdOx_pre,22.47,5.048
InMnPdOx_pre,22.48,5.098
InMnPdOx_pre,22.49,5.002
InMnPdOx_pre,22.5,4.895
InMnPdOx_pre,22.51,4.933
InMnPdOx_pre,22.52,5.06
InMnPdOx_pre,22.53,5.22
InMnPdOx_pre,22.54,5.065
InMnPdOx_pre,22.55,4.854
InMnPdOx_pre,22.56,4.806
InMnPdOx_pre,22.57,4.826
InMnPdOx_pre,22.58,4.862
InMnPdOx_pre,22.59,4.93
InMnPdOx_pre,22.6,5.078
InMnPdOx_pre,22.61,5.096
InMnPdOx_pre,22.62,5.018
InMnPdOx_pre,22.63,5.037
InMnPdOx_pre,22.64,4.977
InMnPdOx_pre,22.65,4.884
InMnPdOx_pre,22.66,4.818
InMnPdOx_pre,22.67,4.887
InMnPdOx_pre,22.68,4.936
InMnPdOx_pre,22.69,4.986
InMnPdOx_pre,22.7,4.912
InMnPdOx_pre,22.71,4.808
InMnPdOx_pre,22.72,4.727
InMnPdOx_pre,22.73,4.757
InMnPdOx_pre,22.74,4.826
InMnPdOx_pre,22.75,4.851
InMnPdOx_pre,22.76,4.753
InMnPdOx_pre,22.77,4.565
InMnPdOx_pre,22.78,4.59
InMnPdOx_pre,22.79,4.877
InMnPdOx_pre,22.8,5.109
InMnPdOx_pre,22.81,5.025
InMnPdOx_pre,22.82,4.876
InMnPdOx_pre,22.83,4.722
InMnPdOx_pre,22.84,4.698
InMnPdOx_pre,22.85,4.757
InMnPdOx_pre,22.86,4.77
InMnPdOx_pre,22.87,4.655
InMnPdOx_pre,22.88,4.539
InMnPdOx_pre,22.89,4.614
InMnPdOx_pre,22.9,4.776
InMnPdOx_pre,22.91,4.867
InMnPdOx_pre,22.92,4.873
InMnPdOx_pre,22.93,4.806
InMnPdOx_pre,22.94,4.838
InMnPdOx_pre,22.95,4.961
InMnPdOx_pre,22.96,5.083
InMnPdOx_pre,22.97,4.992
InMnPdOx_pre,22.98,4.92
InMnPdOx_pre,22.99,5.032
InMnPdOx_pre,23.0,5.138
InMnPdOx_pre,23.01,5.053
InMnPdOx_pre,23.02,5.004
InMnPdOx_pre,23.03,4.997
InMnPdOx_pre,23.04,5.054
InMnPdOx_pre,23.05,4.943
InMnPdOx_pre,23.06,4.827
InMnPdOx_pre,23.07,4.817
InMnPdOx_pre,23.08,4.974
InMnPdOx_pre,23.09,4.971
InMnPdOx_pre,23.1,4.966
InMnPdOx_pre,23.11,4.842
InMnPdOx_pre,23.12,4.912
InMnPdOx_pre,23.13,4.97
InMnPdOx_pre,23.14,5.104
InMnPdOx_pre,23.15,5.033
InMnPdOx_pre,23.16,4.98
InMnPdOx_pre,23.17,4.951
InMnPdOx_pre,23.18,5.043
InMnPdOx_pre,23.19,5.061
InMnPdOx_pre,23.2,5.049
InMnPdOx_pre,23.21,4.95
InMnPdOx_pre,23.22,4.88
InMnPdOx_pre,23.23,4.736
InMnPdOx_pre,23.24,4.711
InMnPdOx_pre,23.25,4.743
InMnPdOx_pre,23.26,4.818
InMnPdOx_pre,23.27,4.925
InMnPdOx_pre,23.28,4.887
InMnPdOx_pre,23.29,4.912
InMnPdOx_pre,23.3,4.78
InMnPdOx_pre,23.31,4.681
InMnPdOx_pre,23.32,4.65
InMnPdOx_pre,23.33,4.772
InMnPdOx_pre,23.34,4.767
InMnPdOx_pre,23.35,4.752
InMnPdOx_pre,23.36,4.807
InMnPdOx_pre,23.37,4.953
InMnPdOx_pre,23.38,5.048
InMnPdOx_pre,23.39,4.871
